event_id,recoil_energy_keV,s1_light_yield,s2_charge_yield,interaction_type,particle_source,label,position_x_mm,position_y_mm,position_z_mm,drift_time_us,s1_width_ns,s2_width_us,s1_area_PE,s2_area_PE,s2_over_s1_ratio,log10_s2_over_s1,timestamp,detector_temp_K,gas_pressure_bar,electric_field_V_cm,event_quality,pile_up_flag,wimp_mass_GeV
227,22.542189,,1151.682135,nuclear_recoil,WIMP,WIMP-like,-2.312094,129.675778,-232.002733,201.501704,,2.860386,,1025.982462,,,2024-09-19 13:50:24.874208,174.920612,1.969953,179.887972,0.760509,0,740.057127
235,5.046379,,289.842718,nuclear_recoil,WIMP,WIMP-like,123.691854,-80.960035,436.493331,704.130324,,2.773828,,278.218724,,,2024-11-06 07:09:45.921027,175.081278,1.996211,247.76744,0.869539,0,898.557003
241,30.272871,,1713.345022,nuclear_recoil,WIMP,WIMP-like,-51.847615,415.826292,158.901807,495.414892,,2.572659,,1715.381852,,,2024-04-19 12:35:15.526506,174.531504,1.924123,227.017047,0.808144,0,549.376429
247,4.895478,,443.664497,nuclear_recoil,WIMP,WIMP-like,-10.745835,301.705376,343.68053,634.346263,,2.271848,,437.645525,,,2024-09-17 11:12:01.902485,175.326855,1.86107,196.086029,0.949117,0,656.200843
249,10.170662,,840.873811,nuclear_recoil,WIMP,WIMP-like,-263.06204,-241.196148,45.74968,410.338105,,2.387689,,672.568826,,,2024-01-20 05:44:15.932818,175.711411,2.311291,216.160724,0.792413,0,39.006449
266,5.186708,,230.721952,nuclear_recoil,WIMP,WIMP-like,-493.490888,71.468929,179.1717,510.655413,,2.151345,,221.714649,,,2024-02-01 13:22:03.944541,175.256171,2.119331,184.565184,0.66959,0,863.225385
270,19.688106,,757.468556,nuclear_recoil,WIMP,WIMP-like,-108.828371,-78.039872,-273.241383,170.495201,,1.761768,,632.305317,,,2024-08-19 08:52:18.068348,173.107238,2.031149,176.244695,0.798338,0,454.362852
289,3.615814,8.992992,4620.912726,sterile_neutrino_decay,sterile_neutrino,Sterile-Neutrino,9.166079,364.606211,-17.643791,362.673841,49.200915,2.304682,7.153901,4023.46022,562.414831,2.750057,2024-09-26 10:12:02.204688,174.383366,2.030801,173.943105,0.87807,0,
291,5.073797,,360.818383,nuclear_recoil,WIMP,WIMP-like,-303.07726,38.026525,-6.752507,370.862777,,1.85448,,328.986497,,,2024-08-19 03:26:08.577155,175.67252,2.021896,183.163567,0.499279,0,851.104173
293,14.344919,30.907592,11437.528779,axion_conversion,solar_axion,Axion-like,-11.833864,454.030482,-14.744396,364.853838,31.311969,2.707738,20.482932,10582.014069,516.62594,2.713176,2024-09-08 21:03:36.369698,173.618408,1.820179,155.528517,0.644177,0,
309,18.813977,,539.119174,nuclear_recoil,WIMP,WIMP-like,-362.733703,224.319173,-48.361004,339.578192,,1.538843,,470.498521,,,2024-11-15 22:40:11.637513,174.842975,1.878984,231.828007,0.842874,0,387.335413
314,5.151783,,261.005271,nuclear_recoil,WIMP,WIMP-like,95.063055,-168.939845,-461.408438,29.016212,,2.318826,,209.849303,,,2024-08-06 09:09:40.403150,173.918086,1.992223,190.877903,0.693237,0,672.654867
315,11.629518,,660.296069,nuclear_recoil,WIMP,WIMP-like,,,282.001826,587.971297,,2.379285,,647.470578,,,2024-08-26 23:50:08.092500,175.436236,1.924611,181.880697,0.82295,0,691.410068
324,5.417431,,269.921521,nuclear_recoil,WIMP,WIMP-like,4.250642,-62.780967,57.810126,419.40611,,2.564684,,223.540529,,,2024-04-17 17:09:13.014772,175.615967,2.061317,207.70939,0.708546,0,182.270344
326,31.031201,3.726548,1655.642734,nuclear_recoil,WIMP,WIMP-like,176.794745,397.92529,-478.013478,16.53122,54.914128,1.88839,3.145146,1435.091552,456.287675,2.659239,2024-05-05 00:04:58.512259,175.882286,2.059,250.807822,0.612704,0,94.743557
336,3.222086,8.330384,2963.050266,sterile_neutrino_decay,sterile_neutrino,Sterile-Neutrino,-96.460516,246.68657,472.229709,730.999781,54.731455,2.148544,6.839858,3015.312478,440.844341,2.644285,2024-03-08 17:12:27.155727,176.312084,2.09361,177.638791,0.75304,0,
383,4.747453,,122.021603,nuclear_recoil,WIMP,WIMP-like,276.575225,41.981942,319.868148,616.442216,,3.522241,,111.397114,,,2024-05-19 19:58:06.809713,172.947126,1.881916,195.152468,0.79857,0,513.228577
404,14.66686,32.740203,19245.130582,axion_conversion,solar_axion,Axion-like,,,-184.943503,236.884584,51.498063,2.059283,25.216319,17575.737206,696.998529,2.843232,2024-12-18 05:40:37.260087,175.925677,2.18103,207.985388,0.709424,0,
436,5.269709,,259.164966,nuclear_recoil,WIMP,WIMP-like,290.122822,-192.215895,-39.673015,346.110515,,2.608166,,229.823266,,,2024-01-06 15:37:34.831361,176.592025,1.941226,171.135984,0.81146,0,51.58571
443,5.387659,,279.674384,nuclear_recoil,WIMP,WIMP-like,389.935449,-277.161671,276.640074,583.939906,,2.335967,,284.082035,,,2024-01-17 01:11:29.690174,174.500549,2.066909,237.38133,0.864909,0,757.78554
448,7.493357,,246.457572,nuclear_recoil,WIMP,WIMP-like,263.615644,-94.554783,-57.410977,332.773702,,2.757189,,225.957084,,,2024-03-06 01:19:19.007276,174.717759,2.105077,176.74122,0.840837,0,56.23084
460,5.271465,,235.024012,nuclear_recoil,WIMP,WIMP-like,162.47404,-92.264667,51.779284,414.871642,,2.43449,,211.853235,,,2024-06-01 16:54:41.949923,175.618068,2.034653,179.83134,0.767672,1,47.113077
467,3.670457,8.096694,4152.738023,sterile_neutrino_decay,sterile_neutrino,Sterile-Neutrino,-213.153455,-99.819648,256.622788,568.889314,33.852501,2.752375,6.794929,3795.84677,558.629355,2.747124,2024-10-15 07:37:44.885701,176.929091,1.942551,217.434052,0.864523,0,
471,3.596134,8.551416,4622.173848,sterile_neutrino_decay,sterile_neutrino,Sterile-Neutrino,403.160586,286.908819,-203.975448,222.574851,49.714192,2.299443,6.479809,3758.991656,580.108429,2.763509,2024-07-25 10:20:36.571111,173.802042,1.957343,192.211929,0.940822,0,
492,19.243933,34.725409,12193.470372,black_hole_evaporation,primordial_black_hole,Primordial-BH,140.211721,192.154582,-31.420196,352.315642,59.102517,1.655983,27.980919,11182.207569,399.636892,2.601666,2024-12-27 09:21:42.139864,174.346863,1.927786,219.661003,0.861859,0,
497,13.056392,,846.627915,nuclear_recoil,WIMP,WIMP-like,360.449016,265.624933,415.076765,688.027643,,2.84413,,802.889103,,,2024-03-17 02:42:04.510875,174.15396,2.062833,207.143235,0.500018,0,393.966649
504,11.339442,,666.574198,nuclear_recoil,WIMP,WIMP-like,1.389763,151.080402,250.015179,563.921187,,2.279549,,664.525556,,,2024-05-16 06:14:34.655156,175.459204,1.970648,207.671048,0.825226,0,895.763351
511,10.091408,14.984551,6898.560951,black_hole_evaporation,primordial_black_hole,Primordial-BH,159.076683,-167.511157,-73.610105,320.593906,48.907235,2.836139,11.821963,5495.409837,464.847474,2.66731,2024-07-08 14:24:22.444898,176.187427,2.052123,226.323522,0.649414,0,
514,9.403959,,480.617091,nuclear_recoil,WIMP,WIMP-like,64.671643,-10.527406,447.651653,712.52004,,1.858073,,493.823594,,,2024-03-07 02:00:04.167850,175.11835,2.039155,202.746826,0.867711,0,52.781563
518,17.591712,24.649179,9499.15536,black_hole_evaporation,primordial_black_hole,Primordial-BH,-71.153858,212.496617,274.260568,582.150803,48.144695,2.943902,24.318613,9424.56286,387.545247,2.588322,2024-12-19 21:06:18.229848,174.784612,1.948991,187.979798,0.75812,0,
520,7.832509,,442.771071,nuclear_recoil,WIMP,WIMP-like,233.219415,282.879515,93.105955,445.944327,,2.039088,,399.923101,,,2024-05-24 10:04:06.410941,174.864666,2.026173,173.55191,0.607128,0,915.729597
551,20.695504,,1533.264116,nuclear_recoil,WIMP,WIMP-like,352.230549,-270.853545,-304.733065,146.817245,,1.666167,,1230.00569,,,2024-12-16 09:02:39.728250,174.015054,1.936601,192.800632,0.679805,0,767.698474
555,14.24978,33.488888,20104.268559,axion_conversion,solar_axion,Axion-like,-13.905776,69.112998,41.220628,406.932803,48.835116,2.744606,33.485116,18191.085728,543.258846,2.735007,2024-09-10 12:45:45.640261,175.487522,2.170411,206.299751,0.934535,0,
562,5.229146,,197.263155,nuclear_recoil,WIMP,WIMP-like,-29.125013,-226.955569,448.881625,713.444831,,2.500734,,183.322425,,,2024-05-10 17:21:59.578844,174.710994,1.944676,188.525937,0.943486,0,830.993811
582,3.49216,7.750044,6377.82568,sterile_neutrino_decay,sterile_neutrino,Sterile-Neutrino,-408.256288,162.172254,16.654401,388.461955,64.985911,2.867355,5.741103,5646.737864,983.563187,2.992802,2024-11-18 17:32:36.844658,174.950533,1.974822,195.8072,0.85854,0,
590,19.958864,16.484553,7119.059093,black_hole_evaporation,primordial_black_hole,Primordial-BH,260.260782,358.109509,-167.552282,249.96069,32.545594,3.301933,12.928442,5690.208014,440.130998,2.643582,2024-07-02 16:04:22.475484,176.505196,2.044911,206.393452,0.897667,0,
592,6.508822,,243.744115,nuclear_recoil,WIMP,WIMP-like,391.977262,130.744883,-248.920976,188.781221,,3.340383,,198.759161,,,2024-03-08 17:40:58.347206,175.123019,1.928532,183.431661,0.483771,0,186.020355
593,14.059797,35.865028,20828.928306,axion_conversion,solar_axion,Axion-like,-59.004696,-211.438995,188.396705,517.591507,57.679377,2.236805,31.363637,19424.560428,619.333792,2.791925,2024-02-06 11:26:50.285548,174.641124,2.069869,196.506362,0.867185,0,
600,13.784405,34.513563,15357.618525,axion_conversion,solar_axion,Axion-like,-327.146728,312.253847,412.85869,686.359917,41.790868,2.601741,21.60043,15359.066956,711.053753,2.851902,2024-06-07 10:30:33.167394,177.236971,1.994684,172.200965,0.910667,0,
602,3.142463,10.439099,3927.571204,sterile_neutrino_decay,sterile_neutrino,Sterile-Neutrino,-30.396352,445.962822,-228.466517,204.160513,50.189991,2.239373,8.111771,3233.307241,398.594482,2.600531,2024-08-22 00:54:31.633609,175.49773,1.947065,227.725522,0.950332,0,
609,6.559016,,283.910244,nuclear_recoil,WIMP,WIMP-like,-86.615983,382.440143,479.11217,736.174564,,2.831153,,281.5104,,,2024-10-18 02:58:13.085510,175.051204,1.877165,180.052453,0.98697,0,865.832135
632,6.715683,,513.639889,nuclear_recoil,WIMP,WIMP-like,27.433466,-18.64959,-499.669841,0.24824,,2.485755,,410.030098,,,2024-07-09 13:08:38.852377,174.526421,1.987515,178.79368,0.671285,0,747.629369
633,3.044999,8.02222,3887.634399,sterile_neutrino_decay,sterile_neutrino,Sterile-Neutrino,-419.329983,162.533077,5.335321,379.951369,53.324734,3.017958,6.358023,3598.721619,566.012688,2.752826,2024-06-16 20:02:40.181152,174.641457,2.041335,193.443421,0.920167,0,
640,3.870512,10.032884,4592.268444,sterile_neutrino_decay,sterile_neutrino,Sterile-Neutrino,40.550466,-439.299708,270.111652,579.031317,48.461912,2.659414,6.576624,4659.066994,708.428378,2.850296,2024-12-19 05:31:40.341895,174.994613,1.904735,163.468885,0.720171,0,
645,11.637215,,585.07545,nuclear_recoil,WIMP,WIMP-like,420.020933,17.131994,437.467188,704.862547,,1.93474,,581.044389,,,2024-08-24 02:29:44.024607,174.938916,2.018495,211.890338,0.520771,0,205.605135
676,4.720401,,276.770803,nuclear_recoil,WIMP,WIMP-like,-4.40249,-240.442709,-165.999281,251.12836,,2.69127,,232.409021,,,2024-10-01 20:47:04.786277,174.782232,2.043085,204.730844,0.802315,0,934.32097
678,6.939358,,427.827223,nuclear_recoil,WIMP,WIMP-like,-327.8104,-227.19157,349.26875,638.547933,,3.099499,,401.808689,,,2024-02-23 18:21:35.238370,173.694,1.691744,208.028593,0.628855,0,958.968468
680,3.66017,8.1153,3186.556316,sterile_neutrino_decay,sterile_neutrino,Sterile-Neutrino,189.249835,255.800234,-396.800188,77.593844,40.76535,2.537947,6.777013,2798.351819,412.918174,2.615864,2024-09-21 05:57:30.867322,173.160362,1.873511,201.10416,0.521429,0,
693,10.439005,,643.491675,nuclear_recoil,WIMP,WIMP-like,-357.841387,-144.82463,-90.020274,308.255433,,2.70513,,579.576738,,,2024-11-25 22:49:52.556300,175.023385,2.102719,175.844504,0.863047,0,483.65247
694,3.234157,9.26379,3662.118271,sterile_neutrino_decay,sterile_neutrino,Sterile-Neutrino,230.097744,-289.12571,-88.349203,309.511877,64.634357,2.380599,6.576441,3285.471075,499.581922,2.698607,2024-04-01 20:42:41.680139,175.186542,1.901085,191.723798,0.822082,0,
740,55.851189,79.202028,47084.914602,black_hole_evaporation,primordial_black_hole,Primordial-BH,390.754772,-135.071934,297.814323,599.860393,55.569479,2.093489,54.947398,45686.057157,831.450789,2.919837,2024-02-11 07:16:22.431812,175.318372,1.944436,197.941255,0.484657,0,
742,14.085639,35.412425,20204.833019,axion_conversion,solar_axion,Axion-like,253.902183,-299.306107,428.175939,697.876646,50.123497,3.000935,27.07339,18183.620254,671.641785,2.827138,2024-11-30 11:46:37.785215,174.641554,2.007425,151.11335,0.95703,0,
747,13.964054,31.563861,17676.569569,axion_conversion,solar_axion,Axion-like,277.49388,-41.995418,-71.076292,322.499028,55.712831,1.689274,24.279418,16118.155476,663.86087,2.822077,2024-03-26 23:06:23.744291,174.609872,1.994885,226.302507,0.825239,0,
751,14.603217,31.240096,19165.345089,axion_conversion,solar_axion,Axion-like,122.43365,-286.738785,350.930827,639.797615,58.890418,2.020014,26.323963,17566.945106,667.336635,2.824345,2024-05-30 08:26:31.993270,175.53564,2.018465,170.747321,0.922631,0,
762,9.206835,,443.155314,nuclear_recoil,WIMP,WIMP-like,498.734305,-16.758044,357.611235,644.820478,,2.733199,,411.820563,,,2024-06-18 02:01:07.371977,174.608697,1.903327,194.37612,0.709426,0,632.926782
763,4.022864,8.176211,3711.404924,sterile_neutrino_decay,sterile_neutrino,Sterile-Neutrino,306.579494,89.301481,-83.509588,313.150686,57.946412,2.546282,6.896812,3506.749551,508.459519,2.706256,2024-10-08 01:32:39.859351,175.886639,1.870983,213.259874,0.772518,0,
765,14.783379,36.016892,17296.564153,axion_conversion,solar_axion,Axion-like,78.016553,479.830677,-486.235307,10.349393,42.094008,2.542841,24.273314,13710.133938,564.823316,2.751913,2024-11-09 17:28:14.595421,175.856665,2.019402,245.135049,0.682972,0,
782,14.310766,36.541707,18655.343172,axion_conversion,solar_axion,Axion-like,-200.069835,113.942537,21.541449,392.136428,36.550133,3.041421,30.526835,17363.402616,568.791452,2.754953,2024-04-29 06:05:58.071648,173.668231,1.83776,204.664291,0.778817,0,
784,5.356607,,390.372675,nuclear_recoil,WIMP,WIMP-like,53.021504,-392.317015,-481.890563,13.616118,,3.731507,,322.917145,,,2024-07-16 11:46:52.558305,176.069022,1.928796,196.077994,0.853787,0,255.173597
806,14.385745,31.346023,15578.555075,axion_conversion,solar_axion,Axion-like,-118.137437,118.049964,-83.812339,312.923053,50.032759,2.350508,32.195521,14918.85212,463.382847,2.66594,2024-07-31 07:36:34.280603,172.980074,1.9564,216.211876,0.68299,0,
818,14.855115,,785.196858,nuclear_recoil,WIMP,WIMP-like,-313.270049,224.403799,-212.855729,215.897948,,2.414414,,642.926847,,,2024-05-27 18:19:46.177358,174.680904,1.945768,150.69012,0.639587,0,86.934856
822,13.926878,,670.2106,nuclear_recoil,WIMP,WIMP-like,302.337918,-13.372711,-46.330153,341.105148,,2.65331,,612.433884,,,2024-09-08 10:42:13.054911,174.327013,2.000627,177.735539,0.687217,0,844.200927
825,22.593652,,1067.637349,nuclear_recoil,WIMP,WIMP-like,-77.463477,-64.867527,469.458567,728.916216,,2.398058,,905.462378,,,2024-11-18 00:04:12.218481,176.335453,1.88796,219.046408,0.901675,0,267.078701
828,8.928792,,324.283461,nuclear_recoil,WIMP,WIMP-like,-83.880091,387.614093,84.194635,439.244087,,3.198299,,282.385394,,,2024-01-28 11:48:12.861685,174.591104,2.111045,209.92802,0.796045,0,58.012395
829,3.564748,7.879958,5599.43615,sterile_neutrino_decay,sterile_neutrino,Sterile-Neutrino,409.935158,-76.543235,444.730128,710.323405,38.740491,1.87869,5.861725,5559.650648,948.46667,2.977022,2024-12-11 06:19:41.033833,175.797484,2.001398,224.99793,0.75064,0,
833,4.696635,,160.753246,nuclear_recoil,WIMP,WIMP-like,-370.997164,79.393008,50.962221,414.257309,,2.775287,,152.775709,,,2024-06-08 21:45:43.321715,173.219897,1.976198,227.406856,0.900347,0,562.297553
844,18.40086,,1150.667052,nuclear_recoil,WIMP,WIMP-like,29.595769,239.360888,162.315524,497.981597,,2.507208,,1037.190572,,,2024-03-10 17:28:14.826642,175.821107,2.208533,166.325446,0.835351,0,410.261611
845,4.511699,,198.014563,nuclear_recoil,WIMP,WIMP-like,-104.232178,69.351012,374.949991,657.857136,,2.82796,,183.783151,,,2024-06-15 06:00:22.716574,175.586559,1.800642,214.14747,0.745327,0,739.354427
864,12.788119,26.915953,2626.50984,black_hole_evaporation,primordial_black_hole,Primordial-BH,161.105298,-300.49224,-204.38564,222.266436,55.210039,2.702025,25.260019,2160.28137,85.521765,1.932077,2024-01-22 11:07:39.780702,174.394056,2.003924,201.673796,0.742377,0,
881,4.75367,,384.033025,nuclear_recoil,WIMP,WIMP-like,422.972591,131.613927,-115.329375,289.226034,,2.30266,,355.501673,,,2024-02-28 20:26:03.990795,177.031881,2.06756,194.508235,0.870973,0,116.271838
882,7.328621,,320.915027,nuclear_recoil,WIMP,WIMP-like,-406.875973,237.756663,-17.500625,362.781485,,2.673017,,299.338539,,,2024-11-08 00:43:43.677244,174.100903,1.973688,199.868391,0.7948,0,564.238435
907,14.689771,35.850906,21249.73047,axion_conversion,solar_axion,Axion-like,105.04734,-77.450773,-197.921201,227.126917,55.359644,2.164245,26.958563,18270.120918,677.711242,2.831045,2024-08-30 01:45:27.025684,173.714434,2.210092,199.331916,0.760247,0,
915,4.660882,,314.059471,nuclear_recoil,WIMP,WIMP-like,-134.462252,163.640141,-295.416628,153.822084,,2.364,,274.954333,,,2024-11-02 10:56:37.502437,175.267211,1.941636,192.11028,0.701595,0,772.311276
921,14.719664,31.701238,17322.341267,axion_conversion,solar_axion,Axion-like,180.532301,165.434354,-303.594032,147.67366,60.530697,2.574101,25.143231,14551.139362,578.729885,2.762476,2024-07-24 15:17:13.315302,174.634349,2.029575,211.20595,0.937678,0,
930,5.144462,,325.900166,nuclear_recoil,WIMP,WIMP-like,-437.994498,64.38539,430.168715,699.374973,,2.867722,,336.278247,,,2024-01-17 04:50:51.542061,174.980765,1.768455,188.901863,0.941572,0,818.731589
932,14.482288,41.35474,15795.750921,axion_conversion,solar_axion,Axion-like,116.629594,196.707107,156.873302,493.889701,35.44805,1.713496,35.905516,13463.867707,374.980485,2.574009,2024-12-26 09:16:31.410226,173.701196,1.966982,220.84014,0.724885,0,
940,7.048148,,389.161268,nuclear_recoil,WIMP,WIMP-like,175.385797,215.601339,-456.44242,32.75006,,2.3128,,302.390261,,,2024-12-28 22:40:20.038703,174.117403,1.923432,184.47272,0.816895,0,76.493343
953,5.383888,,254.452034,nuclear_recoil,WIMP,WIMP-like,-23.992175,431.984188,-336.037881,123.279789,,2.451625,,214.675381,,,2024-04-23 22:32:11.181781,174.585484,1.911283,212.851486,0.74506,0,183.614125
967,5.127489,,243.285836,nuclear_recoil,WIMP,WIMP-like,284.252297,-316.994451,-286.795717,160.303972,,2.013798,,206.172834,,,2024-04-12 18:06:26.100021,173.776693,1.992516,181.71076,0.774876,0,197.600019
987,14.357314,35.272663,15391.41896,axion_conversion,solar_axion,Axion-like,-373.642438,-8.340644,-259.904104,180.52323,65.681997,2.674111,25.391924,12110.596352,476.946779,2.67847,2024-04-07 21:48:21.571622,175.56787,2.080911,197.818716,0.772188,0,
992,5.100237,,250.727097,nuclear_recoil,WIMP,WIMP-like,103.219666,84.133629,-70.454551,322.966503,,2.959402,,227.428772,,,2024-05-21 20:15:01.488323,173.397006,2.009804,211.335549,0.612537,0,517.534831
999,5.562739,,437.699421,nuclear_recoil,WIMP,WIMP-like,-324.421771,267.367271,471.990099,730.819623,,1.909235,,427.81199,,,2024-05-17 12:24:42.651133,173.459179,2.023243,214.300862,0.612873,0,141.247139
1010,5.117852,,153.027168,nuclear_recoil,WIMP,WIMP-like,102.321217,31.683364,310.86097,609.669902,,2.104834,,153.358927,,,2024-03-14 10:31:25.674085,173.260593,2.141935,202.358502,0.914852,0,747.356705
1030,26.188273,,1412.587762,nuclear_recoil,WIMP,WIMP-like,250.632977,160.391803,452.024277,715.807727,,3.020175,,1396.06201,,,2024-05-14 08:59:45.731343,173.556822,2.13841,191.237701,0.8965,0,833.657872
1048,14.95933,31.544413,16067.693331,axion_conversion,solar_axion,Axion-like,-9.621814,83.771856,376.954289,659.364127,62.064926,2.706527,37.333315,16090.824191,431.004435,2.634482,2024-09-12 19:29:06.812190,176.224981,1.900929,177.016021,0.85587,0,
1050,5.157712,,238.991602,nuclear_recoil,WIMP,WIMP-like,-216.991969,-147.659877,457.541705,719.956169,,1.357612,,259.295492,,,2024-05-19 11:35:55.211804,175.166859,1.926755,207.945327,0.838653,0,252.113955
1072,5.160302,,215.466071,nuclear_recoil,WIMP,WIMP-like,-67.67871,-428.930517,-463.167508,27.693603,,2.236387,,181.120033,,,2024-01-20 02:12:28.932281,174.29367,1.982854,193.294331,0.863658,0,674.248454
1098,14.527772,34.18158,18484.411677,axion_conversion,solar_axion,Axion-like,161.046671,385.67985,47.387579,411.569608,68.053545,2.537907,24.987763,15990.291158,639.924872,2.806129,2024-05-07 09:07:56.958568,175.370383,1.89385,205.048575,0.866394,0,
1100,5.367138,,190.497912,nuclear_recoil,WIMP,WIMP-like,53.647656,-413.532133,-139.271016,271.2248,,2.584894,,143.141621,,,2024-10-29 00:55:10.665921,175.620339,1.758087,201.632855,0.877208,0,229.978409
1111,9.517291,13.867914,6700.619981,black_hole_evaporation,primordial_black_hole,Primordial-BH,-261.224938,-288.851212,-19.167943,361.527862,65.532472,2.155791,12.348732,6297.911417,510.004694,2.707574,2024-01-04 17:41:05.649237,176.190858,1.912879,187.96977,0.914241,0,
1113,3.786401,7.69112,4179.570589,sterile_neutrino_decay,sterile_neutrino,Sterile-Neutrino,109.105351,429.433975,-389.188397,83.316995,45.252955,2.598109,5.890757,3376.002016,573.101565,2.758232,2024-02-14 12:29:45.760167,175.153421,1.880038,182.064495,0.893496,0,
1117,3.035274,9.28689,3567.313675,sterile_neutrino_decay,sterile_neutrino,Sterile-Neutrino,20.204141,48.934124,-88.037543,309.746208,55.974629,2.360238,8.675421,3364.839026,387.858869,2.588674,2024-08-11 07:49:08.384657,174.54808,2.256515,207.728924,0.910606,0,
1120,3.20815,8.091912,3428.47869,sterile_neutrino_decay,sterile_neutrino,Sterile-Neutrino,-288.951445,-19.851825,-44.988214,342.114125,45.073282,2.02587,7.104885,2942.48659,414.149788,2.617157,2024-05-07 14:04:25.192781,173.1526,1.977341,216.72462,0.758019,0,
1137,5.378484,,203.90371,nuclear_recoil,WIMP,WIMP-like,22.985992,-274.082842,485.766071,741.177497,,2.59108,,190.212607,,,2024-05-24 10:06:34.499659,176.807933,1.893498,181.193356,0.870373,0,225.714134
1139,14.37746,34.900055,17770.289174,axion_conversion,solar_axion,Axion-like,-343.333734,57.063846,217.038101,539.126392,43.858682,1.805486,24.005549,17411.631247,725.316949,2.860528,2024-01-06 06:07:59.690595,175.708157,1.962555,190.701738,0.863442,0,
1143,9.896739,,492.199693,nuclear_recoil,WIMP,WIMP-like,-135.715608,306.990774,-117.564915,287.545177,,2.430056,,391.111454,,,2024-08-30 00:30:10.585327,176.042909,2.077456,202.359003,0.842077,0,643.419681
1179,24.283045,30.112546,20975.600912,black_hole_evaporation,primordial_black_hole,Primordial-BH,430.600512,-176.273507,-425.127963,56.294765,61.380971,2.643078,19.479257,16002.121674,821.495492,2.914605,2024-02-17 05:11:12.622775,175.070628,1.939611,201.713367,0.80188,0,
1182,4.949041,,281.520951,nuclear_recoil,WIMP,WIMP-like,-41.937838,-337.572825,409.222757,683.626133,,3.02462,,289.47698,,,2024-10-18 01:30:41.463673,174.938354,1.986013,203.930239,0.792179,0,842.646367
1207,3.55343,7.160867,4009.57867,sterile_neutrino_decay,sterile_neutrino,Sterile-Neutrino,121.849024,464.946607,167.350379,501.767202,51.26757,2.966014,5.579238,4026.243191,721.647561,2.858325,2024-10-30 09:16:19.910627,175.311394,2.116473,213.375949,0.772748,0,
1215,21.431899,,1471.459933,nuclear_recoil,WIMP,WIMP-like,167.098412,-411.096365,-346.76803,115.212008,,2.059999,,1252.135486,,,2024-06-29 19:08:15.501082,176.22057,2.030179,194.077208,0.87795,0,672.499475
1231,4.809335,,342.26128,nuclear_recoil,WIMP,WIMP-like,-180.079993,-171.748852,403.268594,679.149319,,1.921287,,341.092611,,,2024-06-08 15:00:36.785728,175.43053,1.964165,197.397219,0.739728,0,84.795754
